VPName,VPPoliticalParty,VPHomeState
John Adams,Federalist,Massachusetts
Thomas Jefferson,Democratic-Republican,Virginia
Aaron Burr,Democratic-Republican,New York
George Clinton,Democratic-Republican,New York
Elbridge Gerry,Democratic-Republican,Massachusetts
Daniel D. Tompkins,Democratic-Republican,New York
John C. Calhoun,Democratic-Republican,South Carolina
Martin Van Buren,Democratic,New York
Richard Mentor Johnson,Democratic,Kentucky
John Tyler,Democratic,Virginia
George M. Dallas,Democratic,Pennsylvania
Millard Fillmore,Whig,New York
William R. King,Democratic,Alabama
John C. Breckinridge,Democratic,Kentucky
Hannibal Hamlin,Republican,Maine
Andrew Johnson,Democratic,Tennessee
Schuyler Colfax,Republican,Indiana
Henry Wilson,Republican,Massachusetts
William A. Wheeler,Republican,New York
Chester A. Arthur,Republican,New York
Thomas A. Hendricks,Democratic,Indiana
Levi P. Morton,Republican,New York
Adlai Stevenson,Democratic,Illinois
Garret Hobart,Republican,New Jersey
Theodore Roosevelt,Republican,New York
Charles W. Fairbanks,Republican,Indiana
James S. Sherman,Republican,New York
Thomas R. Marshall,Democratic,Indiana
Calvin Coolidge,Republican,Massachusetts
Charles G. Dawes,Republican,Illinois
Charles Curtis,Republican,Kansas
John Nance Garner,Democratic,Texas
Henry A. Wallace,Democratic,Iowa
Harry S. Truman,Democratic,Missouri
Alben W. Barkley,Democratic,Kentucky
Richard Nixon,Republican,California
Lyndon B. Johnson,Democratic,Texas
Hubert H. Humphrey,Democratic,Minnesota
Spiro Agnew,Republican,Maryland
Gerald Ford,Republican,Michigan
Nelson Rockefeller,Republican,New York
Walter Mondale,Democratic,Minnesota
George H. W. Bush,Republican,Texas
Dan Quayle,Republican,Indiana
Al Gore,Democratic,Tennessee
Dick Cheney,Republican,Wyoming
Joe Biden,Democratic,Delaware
Mike Pence,Republican,Indiana
